???,? m
1,5 m
0,4 m
0,4 m
0,7 m
0,6 m
0,3 m
0,4 m
1,7 m
0,8 m
1,8 m
2,0 m
14,5 m
0,7 m
1,9 m
0,5 m
0,7 m
0,9 m
1,1 m
0,7 m
1,1 m
2,0 m
0,4 m
1,3 m
0,4 m
1,1 m
1,3 m
2,7 m
1,0 m
1,2 m
0,4 m
0,9 m
0,6 m
1,1 m
0,5 m
1,5 m
1,0 m
1,5 m
0,7 m
1,5 m
0,6 m
6,2 m
0,3 m
1,0 m
0,6 m
1,1 m
0,8 m
1,6 m
2,0 m
0,6 m
1,2 m
0,6 m
0,7 m
1,5 m
0,8 m
1,1 m
1,4 m
0,4 m
1,7 m
1,8 m
1,0 m
0,6 m
0,6 m
1,1 m
1,5 m
0,6 m
1,2 m
1,6 m
1,7 m
1,8 m
1,9 m
1,4 m
2,0 m
4,5 m
3,5 m
7,0 m
0,3 m
1,7 m
0,4 m
1,1 m
2,2 m
0,5 m
0,9 m
1,2 m
0,4 m
0,8 m
1,7 m
0,3 m
0,6 m
1,2 m
0,5 m
1,0 m
0,3 m
1,0 m
0,5 m
0,9 m
1,4 m
0,2 m
0,9 m
0,9 m
1,6 m
0,5 m
1,3 m
0,2 m
0,5 m
0,9 m
0,3 m
1,2 m
0,4 m
0,7 m
1,1 m
0,4 m
0,5 m
0,3 m
0,9 m
1,2 m
0,4 m
1,2 m
0,4 m
1,2 m
0,9 m
0,9 m
0,5 m
1,0 m
0,2 m
0,4 m
1,0 m
0,5 m
1,3 m
0,5 m
0,6 m
0,6 m
0,5 m
1,0 m
0,7 m
1,4 m
1,9 m
0,6 m
0,7 m
1,2 m
0,8 m
2,0 m
0,8 m
1,3 m
0,7 m
1,3 m
1,4 m
0,4 m
1,2 m
1,0 m
1,0 m
2,2 m
1,1 m
1,2 m
1,7 m
2,4 m
2,0 m
1,8 m
1,6 m
1,5 m
1,9 m
1,0 m
0,8 m
2,0 m
2,5 m
0,9 m
1,6 m
1,4 m
2,2 m
1,3 m
0,3 m
0,3 m
0,3 m
0,3 m
5,4 m
4,2 m
1,7 m
3,7 m
4,5 m
1,5 m
0,4 m
0,3 m
1,5 m
0,2 m
3,2 m
6,9 m
0,4 m
